country_id,latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
USA,35.732506,-81.728892,018,035,5780,5103,2023-09-29,1605,L8,L,D
USA,35.755909,-81.414524,018,035,6728,5022,2023-09-29,1605,L8,H,D
USA,35.755911,-81.414193,018,035,6729,5022,2023-09-29,1605,L8,H,D
USA,35.756179,-81.414858,018,035,6727,5021,2023-09-29,1605,L8,M,D
USA,35.75699,-81.414862,018,035,6727,5018,2023-09-29,1605,L8,M,D
USA,35.75753,-81.415197,018,035,6726,5016,2023-09-29,1605,L8,M,D
USA,35.766457,-81.907086,018,035,5244,4973,2023-09-29,1605,L8,L,D
USA,35.766459,-81.906755,018,035,5245,4973,2023-09-29,1605,L8,L,D
USA,35.773456,-82.460097,018,035,3578,4927,2023-09-29,1605,L8,H,D
USA,35.812234,-81.535359,018,035,6365,4812,2023-09-29,1605,L8,L,D
USA,35.892929,-83.336711,018,035,947,4434,2023-09-29,1605,L8,M,D
USA,35.931463,-83.398358,018,035,765,4287,2023-09-29,1605,L8,M,D
USA,35.982398,-82.994324,018,035,1984,4126,2023-09-29,1605,L8,H,D
USA,35.992057,-83.437458,018,035,653,4060,2023-09-29,1605,L8,H,D
USA,35.992063,-83.437125,018,035,654,4060,2023-09-29,1605,L8,H,D
USA,35.999493,-83.070632,018,035,1756,4058,2023-09-29,1605,L8,H,D
USA,36.021809,-82.829203,018,035,2483,3990,2023-09-29,1605,L8,L,D
USA,36.050521,-83.325713,018,035,994,3852,2023-09-29,1605,L8,H,D
USA,36.108735,-82.785559,018,035,2620,3671,2023-09-29,1605,L8,L,D
USA,36.141348,-82.931995,018,035,2183,3542,2023-09-29,1605,L8,H,D
USA,36.171555,-82.970092,018,035,2071,3428,2023-09-29,1605,L8,H,D
USA,36.192586,-81.277339,018,035,7146,3409,2023-09-29,1605,L8,L,D
USA,36.192856,-81.27734,018,035,7146,3408,2023-09-29,1605,L8,H,D
USA,36.192857,-81.277006,018,035,7147,3408,2023-09-29,1605,L8,L,D
USA,36.203426,-81.515652,018,035,6432,3366,2023-09-29,1605,L8,H,D
USA,36.203697,-81.515653,018,035,6432,3365,2023-09-29,1605,L8,L,D
USA,36.204241,-81.51499,018,035,6434,3363,2023-09-29,1605,L8,L,D
